,0.100000,0.300000,0.500000,0.700000,0.900000
0.100000,2397038,7775242,12117490,7603653,1864747
0.300000,7433271,29824249,47318119,29994739,7602931
0.500000,11948644,47059860,74756198,47131009,11941565
0.700000,7436691,29652293,47319506,29820326,7433393
0.900000,2376695,7777010,11772800,7435188,2207343
